yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
199907,1328.72,16.5123,42.0,0.1587964727,0.0455,0.0719,0.0795,0.0639,0.0193704415,0.0038,0.0030084236,-0.0077,-0.0113,0.0016111779,-0.0011695952,-0.03022,-0.031084
199908,1320.41,16.5767,42.98,0.1562430269,0.0472,0.074,0.0815,0.0649,0.0188807383,0.0039,0.0023995201,-0.0053,-0.0026,0.0027298485,-0.0010558461,-0.005004,-0.006251
199909,1282.71,16.641,43.96,0.1636844982,0.0468,0.0739,0.082,0.0646,0.0203796791,0.0039,0.0047875524,0.0084,0.0093,0.0027049432,-0.0009857026,-0.028079,-0.029257
199910,1362.93,16.658,45.3633,0.1576906607,0.0486,0.0755,0.0838,0.0651,0.0204452369,0.0039,0.0017867778,-0.0012,0.0047,0.0048759751,-0.0005150403,0.064238,0.063512
199911,1388.91,16.675,46.7667,0.1555459671,0.0507,0.0736,0.0815,0.0662,0.0182804544,0.0036,0.0005945303,-0.0061,-0.0024,0.0013542672,0.0001107107,0.020822,0.019547
199912,1469.25,16.692,48.17,0.1471672594,0.052,0.0755,0.0819,0.0682,0.0178887565,0.0044,0.0,-0.0155,-0.0102,0.0011487749,6.4278e-05,0.062579,0.061549
200001,1394.46,16.7153,49.0967,0.15465416,0.0532,0.0778,0.0833,0.0666,0.0253587807,0.0041,0.0029708853,0.0228,-0.0021,0.0052062998,0.0006223722,-0.04963,-0.050296
200002,1366.42,16.7387,50.0233,0.1670564326,0.0555,0.0768,0.0829,0.0646,0.027418814,0.0043,0.0059241706,0.0264,0.0092,0.0030004662,0.0004046909,-0.017458,-0.018666
200003,1498.58,16.762,50.95,0.1499735618,0.0569,0.0768,0.0837,0.0618,0.0182913901,0.0047,0.0082449941,0.0367,0.0169,0.0066783159,0.0001848837,0.098488,0.097431
200004,1452.43,16.7427,51.2733,0.1526004182,0.0566,0.0764,0.084,0.063,0.0119449458,0.0046,0.0005841121,-0.0076,-0.0115,0.0079417469,-0.0003869421,-0.031583,-0.032308
200005,1420.6,16.7233,51.5967,0.1556687311,0.0579,0.0799,0.089,0.064,0.0091785275,0.005,0.0011675423,-0.0054,-0.0161,0.0051854234,8.913e-06,-0.022304,-0.023617
