date,dp,ep,bm,ntis,tbl,tms,dfy,svar
1988-12-01,-3.3493461268753166,-2.459030881404422,0.465283574,-0.0214057475,0.0807,0.011100000000000013,0.010800000000000004,0.0006281109
1989-01-01,-3.409162593034201,-2.5108923628387165,0.4307694935,-0.0223605106,0.0827,0.0076000000000000095,0.010300000000000004,0.0009645729
1989-02-01,-3.3709860758434664,-2.4649574122426876,0.4467784572,-0.024823372,0.0853,0.008199999999999999,0.0097,0.001176079
1989-03-01,-3.3828500928093015,-2.4692600377454212,0.4686914136,-0.0231021339,0.0882,0.004699999999999996,0.0087,0.0012864519
1989-04-01,-3.419909014075921,-2.5146682500106037,0.4444352572,-0.0228019666,0.0865,0.005300000000000013,0.008199999999999999,0.0009555837
1989-05-01,-3.442764537060444,-2.545751016824896,0.4334415257,-0.0277140566,0.0843,0.003500000000000003,0.008900000000000005,0.0010730556
1989-06-01,-3.4232643481106444,-2.5343511571837896,0.440562937,-0.0239480705,0.0815,0.0006000000000000033,0.009300000000000003,0.0014295303
1989-07-01,-3.4962475397965425,-2.6394619422042296,0.404035089,-0.028536215,0.0788,0.0013000000000000095,0.009399999999999992,0.0010188257
1989-08-01,-3.5000820173464207,-2.675714820459273,0.3927270602,-0.0248221492,0.079,0.005099999999999993,0.0092,0.0013804507
1989-09-01,-3.4820853555374076,-2.6904486111213504,0.3992097504,-0.0257470986,0.0775,0.007199999999999998,0.008999999999999994,0.0005501917
1989-10-01,-3.446668638302202,-2.67655443794908,0.4064149288,-0.0243506384,0.0764,0.004600000000000007,0.008900000000000005,0.0056359108
1989-11-01,-3.453253081727524,-2.7047045511095043,0.3972257018,-0.0270327725,0.0769,0.0039000000000000007,0.0092,0.0008448088
1989-12-01,-3.4647177455761864,-2.7377745518509062,0.3904547436,-0.0123335365,0.0763,0.005299999999999999,0.009599999999999997,0.0009234228
1990-01-01,-3.385516307329996,-2.684119796103492,0.4149713959,-0.0138967896,0.0764,0.010099999999999998,0.009500000000000008,0.0028920477
1990-02-01,-3.38618810616289,-2.710584368446284,0.4091730897,-0.0117292028,0.0774,0.0102,0.0092,0.0010085783
1990-03-01,-3.4023747527288735,-2.752840315900938,0.4713339564,-0.0102914402,0.079,0.009900000000000006,0.00839999999999999,0.0010322447
1990-04-01,-3.365010052589703,-2.7319133890179037,0.480284256,-0.0101492797,0.0777,0.01469999999999999,0.00839999999999999,0.0009667774
1990-05-01,-3.4430026127715485,-2.826278170042815,0.4435699735,-0.0022618111,0.0774,0.010900000000000007,0.009399999999999992,0.0013614467
1990-06-01,-3.4241674130531323,-2.8237614778482434,0.4429494323,-0.0005072745,0.0773,0.00910000000000001,0.009599999999999997,0.0013508255
1990-07-01,-3.4140552062754965,-2.8110269254047604,0.4392124466,0.0048850583,0.0762,0.00979999999999999,0.009599999999999997,0.0012984369
1990-08-01,-3.310140688583538,-2.7045222056129608,0.4880735629,0.0014392103,0.0745,0.0175,0.009999999999999995,0.0058277892
1990-09-01,-3.2527717430425764,-2.6445946056040155,0.520289666,0.0013728769,0.0736,0.017799999999999996,0.01079999999999999,0.0019847915
1990-10-01,-3.2389778390814348,-2.644024249628396,0.5224519209,-0.0004706842,0.0717,0.018100000000000005,0.0121,0.0044927639
1990-11-01,-3.2901612394955198,-2.708424239142049,0.4985056551,0.0009098866,0.0706,0.015200000000000005,0.013200000000000003,0.0024398922
1990-12-01,-3.30771134106432,-2.73917585313008,0.4844968599,-0.0018459075,0.0674,0.017,0.013800000000000007,0.0007945958
1991-01-01,-3.347728686443716,-2.786120978810327,0.4663077997,0.0007215596,0.0622,0.0215,0.014100000000000001,0.0031935486
1991-02-01,-3.412181837361523,-2.85754572922146,0.4427204408,0.001246896,0.0594,0.024699999999999993,0.012399999999999994,0.0024313467
1991-03-01,-3.4334809630504637,-2.8858513151730736,0.4571255997,0.0032513958,0.0591,0.025300000000000003,0.0116,0.0013750555
1991-04-01,-3.4328121924048,-2.9108545151894805,0.4612395987,0.0057301566,0.0565,0.027199999999999995,0.010800000000000004,0.0020727745
1991-05-01,-3.4696416296627794,-2.9739864945004384,0.4399669694,0.0069821048,0.0546,0.029900000000000003,0.009999999999999995,0.001585169
1991-06-01,-3.4195510107668445,-2.9508448393040596,0.458243743,0.0142474894,0.0557,0.030299999999999994,0.009499999999999995,0.0011798904
1991-07-01,-3.4599241961099665,-3.0224123682466115,0.4403567816,0.0148355528,0.0558,0.029200000000000004,0.008900000000000005,0.0011053299
1991-08-01,-3.475893786232598,-3.070344205891905,0.4376396373,0.0173312983,0.0533,0.028499999999999998,0.009000000000000008,0.0020376369
1991-09-01,-3.453079776087511,-3.0803230277254317,0.441531837,0.023289044,0.0522,0.026799999999999997,0.009000000000000008,0.0004746966
1991-10-01,-3.466827054889143,-3.127333395319518,0.4340034538,0.0255088958,0.0499,0.029200000000000004,0.009399999999999992,0.0011256624
1991-11-01,-3.4238658994534115,-3.1189113512083675,0.4601544903,0.030689947,0.0456,0.033299999999999996,0.0097,0.0020490197
1991-12-01,-3.5316202026998593,-3.2625900636226404,0.4203444173,0.0318123844,0.0407,0.032299999999999995,0.009500000000000008,0.0020495495
1992-01-01,-3.5082227281611145,-3.237910259812231,0.4132296785,0.0319414665,0.038,0.0396,0.009300000000000003,0.0008724427
1992-02-01,-3.514447756490556,-3.2428649352771544,0.4076305252,0.0335560213,0.0384,0.03930000000000001,0.009399999999999992,0.0009132282
1992-03-01,-3.4890986759482137,-3.216253488993091,0.4021060342,0.041900538,0.0404,0.039299999999999995,0.008999999999999994,0.0004697573
1992-04-01,-3.5167149411060614,-3.226210769332828,0.3873034718,0.0386618101,0.0375,0.0428,0.008800000000000002,0.0016610436
1992-05-01,-3.517792066265976,-3.209929565238186,0.3829985163,0.0371754887,0.0363,0.041800000000000004,0.008500000000000008,0.0006900288
1992-06-01,-3.5003862946955655,-3.1754600490714138,0.3920423538,0.0430765596,0.0366,0.0399,0.008300000000000002,0.0007529192
1992-07-01,-3.536977492841532,-3.194908495801429,0.3833486997,0.0414947919,0.0321,0.0405,0.007700000000000012,0.000897463
1992-08-01,-3.5106642485636614,-3.1518089831733156,0.3994050369,0.0430499562,0.0313,0.041199999999999994,0.006999999999999992,0.0003695474
1992-09-01,-3.5177096836353114,-3.1424113344879876,0.3976569721,0.0411377823,0.0291,0.04189999999999999,0.006999999999999992,0.0008722412
1992-10-01,-3.520080011332367,-3.1252998663704536,0.4032511778,0.0410960987,0.0286,0.0455,0.008500000000000008,0.0009441448
1992-11-01,-3.5501673467206794,-3.1362595487123115,0.3936264585,0.0379866517,0.0313,0.043500000000000004,0.008599999999999997,0.0005080947
1992-12-01,-3.5604908214908733,-3.12781224669454,0.3941096142,0.0388286878,0.0322,0.0404,0.008300000000000002,0.0004715523
1993-01-01,-3.5649880229908235,-3.1218226584857667,0.3930481045,0.0417538423,0.03,0.042499999999999996,0.007599999999999996,0.0003488508
1993-02-01,-3.572891323277257,-3.119407958209358,0.3859601969,0.0407281702,0.0293,0.0405,0.0068000000000000005,0.0011468965
1993-03-01,-3.588904593166543,-3.125251722835533,0.3336135264,0.0371064145,0.0295,0.0407,0.005699999999999997,0.001004725
1993-04-01,-3.5619819346299204,-3.108111819486517,0.334349806,0.0398126855,0.0287,0.04139999999999999,0.0068000000000000005,0.001004785
